"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Generic coverage (contract/smoke) test for global/utilityBarContainer on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","81","global/utilityBarContainer","","2026-06-07","passed","2026-06-07","","Generic — console","",""
"Generic coverage (contract/smoke) test for salesforceapp/record/slidePanel on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","76","salesforceapp/record/slidePanel","","2026-06-07","passed","2026-06-07","","Generic — console","",""
"Generic coverage (contract/smoke) test for aura/btHomePage on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","29","aura/btHomePage","","2026-06-07","passed","2026-06-07","","Generic — console","",""
"Generic coverage (contract/smoke) test for global/header on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","1787","global/header","","2026-06-07","passed","2026-06-07","","Generic — setup","",""
"Generic coverage (contract/smoke) test for aura/btHomePage on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","56","aura/btHomePage","","2026-06-07","passed","2026-06-07","","Generic — setup","",""
"Generic coverage (contract/smoke) test for runtime_sales/lightningPrimitiveBubble on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","113","runtime_sales/lightningPrimitiveBubble","","2026-06-07","passed","2026-06-07","","Generic — home","",""
"","1","devops/center/baseComponent","","2026-06-07","skipped","2026-06-07","","Generic — console","",""
"Aggregate coverage across 3 page objects discovered on the account_detail page. Each matched page object was loaded; every method was EXECUTED against the live DOM with curated or synthesized arguments and its return value type-checked; every public element was resolved against the live DOM. This is a contract/smoke level check of the page-object↔DOM binding — it does NOT assert behavioral outcomes, and parameterized members without a curated value are counted under *_skipped, not passed. Failure kinds are aggregated below to surface systemic patterns.","0","Coverage summary — account_detail","","2026-06-07","passed","2026-06-07","","Coverage — account_detail","",""
"Generic coverage (contract/smoke) test for salesforceapp/record/slidePanel on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","48","salesforceapp/record/slidePanel","","2026-06-07","passed","2026-06-07","","Generic — home","",""
"Generic coverage (contract/smoke) test for setup/agenticSetupHome on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","254","setup/agenticSetupHome","","2026-06-07","passed","2026-06-07","","Generic — setup","",""
"Generic coverage (contract/smoke) test for lightning/primitiveBubble on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","101","lightning/primitiveBubble","","2026-06-07","passed","2026-06-07","","Generic — console","",""
"","0","devops/center/baseComponent","","2026-06-07","skipped","2026-06-07","","Generic — setup","",""
"Generic coverage (contract/smoke) test for global/globalCreate on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","71","global/globalCreate","","2026-06-07","passed","2026-06-07","","Generic — home","",""
"Generic coverage (contract/smoke) test for salesforceapp/record/slidePanel on the account_detail page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","128","salesforceapp/record/slidePanel","","2026-06-07","passed","2026-06-07","","Generic — account_detail","",""
"Generic coverage (contract/smoke) test for lightning/primitiveBubble on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","87","lightning/primitiveBubble","","2026-06-07","passed","2026-06-07","","Generic — home","",""
"Generic coverage (contract/smoke) test for setup/setupNavTree on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","40","setup/setupNavTree","","2026-06-07","passed","2026-06-07","","Generic — setup","",""
"Generic coverage (contract/smoke) test for aura/btHomePage on the home page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","63","aura/btHomePage","","2026-06-07","passed","2026-06-07","","Generic — home","",""
"Aggregate coverage across 8 page objects discovered on the console page. Each matched page object was loaded; every method was EXECUTED against the live DOM with curated or synthesized arguments and its return value type-checked; every public element was resolved against the live DOM. This is a contract/smoke level check of the page-object↔DOM binding — it does NOT assert behavioral outcomes, and parameterized members without a curated value are counted under *_skipped, not passed. Failure kinds are aggregated below to surface systemic patterns.","0","Coverage summary — console","","2026-06-07","passed","2026-06-07","","Coverage — console","",""
