"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","devops/center/baseComponent","","2026-06-08","skipped","2026-06-08","","Generic — home","",""
"","0","devops/center/baseComponent","","2026-06-08","skipped","2026-06-08","","Generic — console","",""
"Generic coverage (contract/smoke) test for global/header on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","882","global/header","","2026-06-08","passed","2026-06-08","","Generic — console","",""
"Generic coverage (contract/smoke) test for aura/btHomePage on the account_detail page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","173","aura/btHomePage","","2026-06-08","passed","2026-06-08","","Generic — account_detail","",""
"Generic coverage (contract/smoke) test for global/globalCreate on the console page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","207","global/globalCreate","","2026-06-08","passed","2026-06-08","","Generic — console","",""
"Generic coverage (contract/smoke) test for global/utilityBarContainer on the account_detail page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","90","global/utilityBarContainer","","2026-06-08","passed","2026-06-08","","Generic — account_detail","",""
"Generic coverage (contract/smoke) test for navex/workspaceManager on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","107","navex/workspaceManager","","2026-06-08","passed","2026-06-08","","Generic — setup","",""
"Generic coverage (contract/smoke) test for global/header on the account_detail page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","1420","global/header","","2026-06-08","passed","2026-06-08","","Generic — account_detail","",""
"Generic coverage (contract/smoke) test for aura/btHomePage on the setup page. For each method: collects required args by walking the compose tree, uses a curated override when one exists else synthesizes defaults, EXECUTES the method against the live DOM, and type-checks the return value against the declared returnType. For each public element: resolves it against the live DOM and binds its capability. This proves the page-object↔DOM binding works against a real org. It does NOT assert behavioral outcomes (navigation, state changes, value contents); parameterized actions without a curated arg value are Skipped (see each step's `verification` parameter and skip reasons) rather than driven with a placeholder.","713","aura/btHomePage","","2026-06-08","passed","2026-06-08","","Generic — setup","",""
"","0","devops/center/baseComponent","","2026-06-08","skipped","2026-06-08","","Generic — setup","",""
